Variable,N,Mean,Std. Dev.,Min,25th Pctl,Median,75th Pctl,Max
Departure Delay Rate,"667,836",0.188,0.148,0.000,0.086,0.161,0.255,1.000
Arrival Delay Rate,"667,836",0.192,0.148,0.000,0.092,0.167,0.259,1.000
Cancellation Rate,"667,836",0.026,0.086,0.000,0.000,0.000,0.020,1.000
HHI (Market Concentration),"667,836",0.704,0.274,0.138,0.474,0.657,1.000,1.000
Carrier Route Share,"667,836",0.627,0.360,0.001,0.284,0.652,1.000,1.000
carrierHubShare,"667,836",0.278,0.256,0.000,0.083,0.202,0.392,1.000
Carrier Total Incidents,"667,836",61.258,59.317,1.000,24.000,41.000,86.000,818.000
route_total_flights,"667,836",145.353,148.969,1.000,38.000,94.000,198.000,1319.000
